,id,Gemeente,Indicator,Aantal
0,1680,Aa en Hunze,Aantal gevallen,
1,358,Aalsmeer,Aantal gevallen,
2,197,Aalten,Aantal gevallen,
3,59,Achtkarspelen,Aantal gevallen,
4,482,Alblasserdam,Aantal gevallen,
5,613,Albrandswaard,Aantal gevallen,1.0
6,361,Alkmaar,Aantal gevallen,
7,141,Almelo,Aantal gevallen,1.0
8,34,Almere,Aantal gevallen,1.0
9,484,Alphen aan den Rijn,Aantal gevallen,1.0
10,1723,Alphen-Chaam,Aantal gevallen,
11,1959,Altena,Aantal gevallen,4.0
12,60,Ameland,Aantal gevallen,
13,307,Amersfoort,Aantal gevallen,
14,362,Amstelveen,Aantal gevallen,2.0
15,363,Amsterdam,Aantal gevallen,4.0
16,200,Apeldoorn,Aantal gevallen,
17,3,Appingedam,Aantal gevallen,
18,202,Arnhem,Aantal gevallen,2.0
19,106,Assen,Aantal gevallen,
20,743,Asten,Aantal gevallen,
21,744,Baarle-Nassau,Aantal gevallen,
22,308,Baarn,Aantal gevallen,
23,489,Barendrecht,Aantal gevallen,
24,203,Barneveld,Aantal gevallen,
25,888,Beek,Aantal gevallen,
26,1954,Beekdaelen,Aantal gevallen,4.0
27,370,Beemster,Aantal gevallen,
28,889,Beesel,Aantal gevallen,
29,1945,Berg en Dal,Aantal gevallen,
30,1724,Bergeijk,Aantal gevallen,
31,893,Bergen (L),Aantal gevallen,
32,373,Bergen (NH),Aantal gevallen,
33,748,Bergen op Zoom,Aantal gevallen,1.0
34,1859,Berkelland,Aantal gevallen,
35,1721,Bernheze,Aantal gevallen,2.0
36,753,Best,Aantal gevallen,2.0
37,209,Beuningen,Aantal gevallen,3.0
38,375,Beverwijk,Aantal gevallen,4.0
39,1728,Bladel,Aantal gevallen,
40,376,Blaricum,Aantal gevallen,1.0
41,377,Bloemendaal,Aantal gevallen,1.0
42,1901,Bodegraven-Reeuwijk,Aantal gevallen,
43,755,Boekel,Aantal gevallen,1.0
44,1681,Borger-Odoorn,Aantal gevallen,
45,147,Borne,Aantal gevallen,3.0
46,654,Borsele,Aantal gevallen,
47,756,Boxmeer,Aantal gevallen,
48,757,Boxtel,Aantal gevallen,
49,758,Breda,Aantal gevallen,19.0
50,501,Brielle,Aantal gevallen,
51,1876,Bronckhorst,Aantal gevallen,2.0
52,213,Brummen,Aantal gevallen,
53,899,Brunssum,Aantal gevallen,
54,312,Bunnik,Aantal gevallen,
55,313,Bunschoten,Aantal gevallen,
56,214,Buren,Aantal gevallen,
57,502,Capelle aan den IJssel,Aantal gevallen,
58,383,Castricum,Aantal gevallen,
59,109,Coevorden,Aantal gevallen,9.0
60,1706,Cranendonck,Aantal gevallen,
61,1684,Cuijk,Aantal gevallen,
62,216,Culemborg,Aantal gevallen,1.0
63,148,Dalfsen,Aantal gevallen,
64,1891,Dantumadiel,Aantal gevallen,
65,310,De Bilt,Aantal gevallen,6.0
66,1940,De Fryske Marren,Aantal gevallen,
67,736,De Ronde Venen,Aantal gevallen,
68,1690,De Wolden,Aantal gevallen,
69,503,Delft,Aantal gevallen,1.0
70,10,Delfzijl,Aantal gevallen,
71,400,Den Helder,Aantal gevallen,
72,762,Deurne,Aantal gevallen,1.0
73,150,Deventer,Aantal gevallen,
74,384,Diemen,Aantal gevallen,2.0
75,1774,Dinkelland,Aantal gevallen,2.0
76,221,Doesburg,Aantal gevallen,
77,222,Doetinchem,Aantal gevallen,
78,766,Dongen,Aantal gevallen,3.0
79,505,Dordrecht,Aantal gevallen,
80,498,Drechterland,Aantal gevallen,
81,1719,Drimmelen,Aantal gevallen,
82,303,Dronten,Aantal gevallen,
83,225,Druten,Aantal gevallen,
84,226,Duiven,Aantal gevallen,
85,1711,Echt-Susteren,Aantal gevallen,
86,385,Edam-Volendam,Aantal gevallen,
87,228,Ede,Aantal gevallen,
88,317,Eemnes,Aantal gevallen,
89,770,Eersel,Aantal gevallen,
90,1903,Eijsden-Margraten,Aantal gevallen,
91,772,Eindhoven,Aantal gevallen,7.0
92,230,Elburg,Aantal gevallen,
93,114,Emmen,Aantal gevallen,1.0
94,388,Enkhuizen,Aantal gevallen,
95,153,Enschede,Aantal gevallen,
96,232,Epe,Aantal gevallen,
97,233,Ermelo,Aantal gevallen,
98,777,Etten-Leur,Aantal gevallen,1.0
99,779,Geertruidenberg,Aantal gevallen,
100,1771,Geldrop-Mierlo,Aantal gevallen,
101,1652,Gemert-Bakel,Aantal gevallen,1.0
102,907,Gennep,Aantal gevallen,
103,784,Gilze en Rijen,Aantal gevallen,
104,1924,Goeree-Overflakkee,Aantal gevallen,
105,664,Goes,Aantal gevallen,
106,785,Goirle,Aantal gevallen,4.0
107,1942,Gooise Meren,Aantal gevallen,2.0
108,512,Gorinchem,Aantal gevallen,
109,513,Gouda,Aantal gevallen,
110,786,Grave,Aantal gevallen,
111,14,Groningen,Aantal gevallen,
112,1729,Gulpen-Wittem,Aantal gevallen,
113,158,Haaksbergen,Aantal gevallen,
114,788,Haaren,Aantal gevallen,2.0
115,392,Haarlem,Aantal gevallen,2.0
116,394,Haarlemmermeer,Aantal gevallen,
117,1655,Halderberge,Aantal gevallen,
118,160,Hardenberg,Aantal gevallen,
119,243,Harderwijk,Aantal gevallen,
120,523,Hardinxveld-Giessendam,Aantal gevallen,4.0
121,72,Harlingen,Aantal gevallen,
122,244,Hattem,Aantal gevallen,
123,396,Heemskerk,Aantal gevallen,
124,397,Heemstede,Aantal gevallen,1.0
125,246,Heerde,Aantal gevallen,
126,74,Heerenveen,Aantal gevallen,
127,398,Heerhugowaard,Aantal gevallen,
128,917,Heerlen,Aantal gevallen,
129,1658,Heeze-Leende,Aantal gevallen,
130,399,Heiloo,Aantal gevallen,
131,163,Hellendoorn,Aantal gevallen,2.0
132,530,Hellevoetsluis,Aantal gevallen,
133,794,Helmond,Aantal gevallen,7.0
134,531,Hendrik-Ido-Ambacht,Aantal gevallen,
135,164,Hengelo (O),Aantal gevallen,
136,1966,Het Hogeland,Aantal gevallen,
137,252,Heumen,Aantal gevallen,
138,797,Heusden,Aantal gevallen,1.0
139,534,Hillegom,Aantal gevallen,
140,798,Hilvarenbeek,Aantal gevallen,
141,402,Hilversum,Aantal gevallen,
142,1963,Hoeksche Waard,Aantal gevallen,2.0
143,1735,Hof van Twente,Aantal gevallen,
144,1911,Hollands Kroon,Aantal gevallen,
145,118,Hoogeveen,Aantal gevallen,
146,405,Hoorn,Aantal gevallen,
147,1507,Horst aan de Maas,Aantal gevallen,
148,321,Houten,Aantal gevallen,13.0
149,406,Huizen,Aantal gevallen,1.0
150,677,Hulst,Aantal gevallen,
151,353,IJsselstein,Aantal gevallen,1.0
152,1884,Kaag en Braassem,Aantal gevallen,
153,166,Kampen,Aantal gevallen,
154,678,Kapelle,Aantal gevallen,
155,537,Katwijk,Aantal gevallen,
156,928,Kerkrade,Aantal gevallen,
157,1598,Koggenland,Aantal gevallen,
158,542,Krimpen aan den IJssel,Aantal gevallen,
159,1931,Krimpenerwaard,Aantal gevallen,1.0
160,1659,Laarbeek,Aantal gevallen,
161,1685,Landerd,Aantal gevallen,2.0
162,882,Landgraaf,Aantal gevallen,
163,415,Landsmeer,Aantal gevallen,
164,416,Langedijk,Aantal gevallen,
165,1621,Lansingerland,Aantal gevallen,3.0
166,417,Laren,Aantal gevallen,
167,80,Leeuwarden,Aantal gevallen,
168,546,Leiden,Aantal gevallen,
169,547,Leiderdorp,Aantal gevallen,
170,1916,Leidschendam-Voorburg,Aantal gevallen,1.0
171,995,Lelystad,Aantal gevallen,
172,1640,Leudal,Aantal gevallen,1.0
173,327,Leusden,Aantal gevallen,
174,1705,Lingewaard,Aantal gevallen,2.0
175,553,Lisse,Aantal gevallen,
176,262,Lochem,Aantal gevallen,
177,809,Loon op Zand,Aantal gevallen,7.0
178,331,Lopik,Aantal gevallen,
179,24,Loppersum,Aantal gevallen,
180,168,Losser,Aantal gevallen,
