id;Gemeente;Indicator;Aantal
1680;Aa en Hunze;Aantal gevallen;0
358;Aalsmeer;Aantal gevallen;2
197;Aalten;Aantal gevallen;0
59;Achtkarspelen;Aantal gevallen;0
482;Alblasserdam;Aantal gevallen;0
613;Albrandswaard;Aantal gevallen;1
361;Alkmaar;Aantal gevallen;1
141;Almelo;Aantal gevallen;1
34;Almere;Aantal gevallen;1
484;Alphen aan den Rijn;Aantal gevallen;2
1723;Alphen-Chaam;Aantal gevallen;0
1959;Altena;Aantal gevallen;4
60;Ameland;Aantal gevallen;0
307;Amersfoort;Aantal gevallen;2
362;Amstelveen;Aantal gevallen;2
363;Amsterdam;Aantal gevallen;8
200;Apeldoorn;Aantal gevallen;1
3;Appingedam;Aantal gevallen;0
202;Arnhem;Aantal gevallen;3
106;Assen;Aantal gevallen;0
743;Asten;Aantal gevallen;0
744;Baarle-Nassau;Aantal gevallen;0
308;Baarn;Aantal gevallen;0
489;Barendrecht;Aantal gevallen;0
203;Barneveld;Aantal gevallen;0
888;Beek;Aantal gevallen;0
1954;Beekdaelen;Aantal gevallen;8
370;Beemster;Aantal gevallen;0
889;Beesel;Aantal gevallen;0
1945;Berg en Dal;Aantal gevallen;3
1724;Bergeijk;Aantal gevallen;1
893;Bergen (L);Aantal gevallen;0
373;Bergen (NH);Aantal gevallen;0
748;Bergen op Zoom;Aantal gevallen;1
1859;Berkelland;Aantal gevallen;0
1721;Bernheze;Aantal gevallen;2
753;Best;Aantal gevallen;3
209;Beuningen;Aantal gevallen;3
375;Beverwijk;Aantal gevallen;4
1728;Bladel;Aantal gevallen;0
376;Blaricum;Aantal gevallen;1
377;Bloemendaal;Aantal gevallen;1
1901;Bodegraven-Reeuwijk;Aantal gevallen;0
755;Boekel;Aantal gevallen;7
1681;Borger-Odoorn;Aantal gevallen;0
147;Borne;Aantal gevallen;3
654;Borsele;Aantal gevallen;1
756;Boxmeer;Aantal gevallen;0
757;Boxtel;Aantal gevallen;0
758;Breda;Aantal gevallen;32
501;Brielle;Aantal gevallen;0
1876;Bronckhorst;Aantal gevallen;2
213;Brummen;Aantal gevallen;0
899;Brunssum;Aantal gevallen;0
312;Bunnik;Aantal gevallen;0
313;Bunschoten;Aantal gevallen;0
214;Buren;Aantal gevallen;0
502;Capelle aan den IJssel;Aantal gevallen;0
383;Castricum;Aantal gevallen;0
109;Coevorden;Aantal gevallen;11
1706;Cranendonck;Aantal gevallen;1
1684;Cuijk;Aantal gevallen;1
216;Culemborg;Aantal gevallen;1
148;Dalfsen;Aantal gevallen;0
1891;Dantumadiel;Aantal gevallen;0
310;De Bilt;Aantal gevallen;10
1940;De Fryske Marren;Aantal gevallen;0
736;De Ronde Venen;Aantal gevallen;0
1690;De Wolden;Aantal gevallen;0
503;Delft;Aantal gevallen;1
10;Delfzijl;Aantal gevallen;0
400;Den Helder;Aantal gevallen;1
762;Deurne;Aantal gevallen;3
150;Deventer;Aantal gevallen;0
384;Diemen;Aantal gevallen;2
1774;Dinkelland;Aantal gevallen;2
221;Doesburg;Aantal gevallen;0
222;Doetinchem;Aantal gevallen;0
766;Dongen;Aantal gevallen;4
505;Dordrecht;Aantal gevallen;0
498;Drechterland;Aantal gevallen;0
1719;Drimmelen;Aantal gevallen;1
303;Dronten;Aantal gevallen;0
225;Druten;Aantal gevallen;0
226;Duiven;Aantal gevallen;0
1711;Echt-Susteren;Aantal gevallen;0
385;Edam-Volendam;Aantal gevallen;0
228;Ede;Aantal gevallen;0
317;Eemnes;Aantal gevallen;0
770;Eersel;Aantal gevallen;0
1903;Eijsden-Margraten;Aantal gevallen;0
772;Eindhoven;Aantal gevallen;8
230;Elburg;Aantal gevallen;0
114;Emmen;Aantal gevallen;1
388;Enkhuizen;Aantal gevallen;0
153;Enschede;Aantal gevallen;1
232;Epe;Aantal gevallen;0
233;Ermelo;Aantal gevallen;1
777;Etten-Leur;Aantal gevallen;5
779;Geertruidenberg;Aantal gevallen;1
1771;Geldrop-Mierlo;Aantal gevallen;0
1652;Gemert-Bakel;Aantal gevallen;4
907;Gennep;Aantal gevallen;0
784;Gilze en Rijen;Aantal gevallen;0
1924;Goeree-Overflakkee;Aantal gevallen;0
664;Goes;Aantal gevallen;2
785;Goirle;Aantal gevallen;6
1942;Gooise Meren;Aantal gevallen;3
512;Gorinchem;Aantal gevallen;0
513;Gouda;Aantal gevallen;2
786;Grave;Aantal gevallen;0
14;Groningen;Aantal gevallen;0
1729;Gulpen-Wittem;Aantal gevallen;0
158;Haaksbergen;Aantal gevallen;0
788;Haaren;Aantal gevallen;6
392;Haarlem;Aantal gevallen;1
394;Haarlemmermeer;Aantal gevallen;0
1655;Halderberge;Aantal gevallen;0
160;Hardenberg;Aantal gevallen;0
243;Harderwijk;Aantal gevallen;0
523;Hardinxveld-Giessendam;Aantal gevallen;5
72;Harlingen;Aantal gevallen;0
244;Hattem;Aantal gevallen;0
396;Heemskerk;Aantal gevallen;0
397;Heemstede;Aantal gevallen;1
246;Heerde;Aantal gevallen;0
74;Heerenveen;Aantal gevallen;0
398;Heerhugowaard;Aantal gevallen;0
917;Heerlen;Aantal gevallen;1
1658;Heeze-Leende;Aantal gevallen;1
399;Heiloo;Aantal gevallen;0
163;Hellendoorn;Aantal gevallen;2
530;Hellevoetsluis;Aantal gevallen;0
794;Helmond;Aantal gevallen;12
531;Hendrik-Ido-Ambacht;Aantal gevallen;0
164;Hengelo (O);Aantal gevallen;0
1966;Het Hogeland;Aantal gevallen;0
252;Heumen;Aantal gevallen;0
797;Heusden;Aantal gevallen;2
534;Hillegom;Aantal gevallen;0
798;Hilvarenbeek;Aantal gevallen;1
402;Hilversum;Aantal gevallen;0
1963;Hoeksche Waard;Aantal gevallen;2
1735;Hof van Twente;Aantal gevallen;0
1911;Hollands Kroon;Aantal gevallen;0
118;Hoogeveen;Aantal gevallen;0
405;Hoorn;Aantal gevallen;0
1507;Horst aan de Maas;Aantal gevallen;0
321;Houten;Aantal gevallen;13
406;Huizen;Aantal gevallen;2
677;Hulst;Aantal gevallen;0
353;IJsselstein;Aantal gevallen;1
1884;Kaag en Braassem;Aantal gevallen;0
166;Kampen;Aantal gevallen;0
678;Kapelle;Aantal gevallen;0
537;Katwijk;Aantal gevallen;0
928;Kerkrade;Aantal gevallen;0
1598;Koggenland;Aantal gevallen;0
542;Krimpen aan den IJssel;Aantal gevallen;0
1931;Krimpenerwaard;Aantal gevallen;3
1659;Laarbeek;Aantal gevallen;0
1685;Landerd;Aantal gevallen;2
882;Landgraaf;Aantal gevallen;0
415;Landsmeer;Aantal gevallen;0
416;Langedijk;Aantal gevallen;1
1621;Lansingerland;Aantal gevallen;4
417;Laren;Aantal gevallen;0
80;Leeuwarden;Aantal gevallen;0
546;Leiden;Aantal gevallen;1
547;Leiderdorp;Aantal gevallen;0
1916;Leidschendam-Voorburg;Aantal gevallen;2
995;Lelystad;Aantal gevallen;1
1640;Leudal;Aantal gevallen;3
327;Leusden;Aantal gevallen;0
1705;Lingewaard;Aantal gevallen;2
553;Lisse;Aantal gevallen;0
262;Lochem;Aantal gevallen;0
809;Loon op Zand;Aantal gevallen;7
331;Lopik;Aantal gevallen;0
24;Loppersum;Aantal gevallen;0
168;Losser;Aantal gevallen;0
263;Maasdriel;Aantal gevallen;0
1641;Maasgouw;Aantal gevallen;0
556;Maassluis;Aantal gevallen;0
935;Maastricht;Aantal gevallen;8
420;Medemblik;Aantal gevallen;0
938;Meerssen;Aantal gevallen;0
1948;Meierijstad;Aantal gevallen;13
119;Meppel;Aantal gevallen;0
687;Middelburg;Aantal gevallen;0
1842;Midden-Delfland;Aantal gevallen;0
1731;Midden-Drenthe;Aantal gevallen;0
1952;Midden-Groningen;Aantal gevallen;0
815;Mill en Sint Hubert;Aantal gevallen;0
1709;Moerdijk;Aantal gevallen;0
1978;Molenlanden;Aantal gevallen;0
1955;Montferland;Aantal gevallen;0
335;Montfoort;Aantal gevallen;0
944;Mook en Middelaar;Aantal gevallen;0
1740;Neder-Betuwe;Aantal gevallen;1
946;Nederweert;Aantal gevallen;0
356;Nieuwegein;Aantal gevallen;0
569;Nieuwkoop;Aantal gevallen;0
267;Nijkerk;Aantal gevallen;0
268;Nijmegen;Aantal gevallen;4
1930;Nissewaard;Aantal gevallen;0
1970;Noardeast-Fryslân;Aantal gevallen;0
1695;Noord-Beveland;Aantal gevallen;0
1699;Noordenveld;Aantal gevallen;0
171;Noordoostpolder;Aantal gevallen;0
575;Noordwijk;Aantal gevallen;2
820;Nuenen, Gerwen en Nederwetten;Aantal gevallen;1
302;Nunspeet;Aantal gevallen;0
579;Oegstgeest;Aantal gevallen;2
823;Oirschot;Aantal gevallen;0
824;Oisterwijk;Aantal gevallen;4
1895;Oldambt;Aantal gevallen;0
269;Oldebroek;Aantal gevallen;0
173;Oldenzaal;Aantal gevallen;0
1773;Olst-Wijhe;Aantal gevallen;0
175;Ommen;Aantal gevallen;0
1586;Oost Gelre;Aantal gevallen;0
826;Oosterhout;Aantal gevallen;0
85;Ooststellingwerf;Aantal gevallen;0
431;Oostzaan;Aantal gevallen;0
432;Opmeer;Aantal gevallen;0
86;Opsterland;Aantal gevallen;2
828;Oss;Aantal gevallen;2
1509;Oude IJsselstreek;Aantal gevallen;0
437;Ouder-Amstel;Aantal gevallen;0
589;Oudewater;Aantal gevallen;0
1734;Overbetuwe;Aantal gevallen;0
590;Papendrecht;Aantal gevallen;0
1894;Peel en Maas;Aantal gevallen;3
765;Pekela;Aantal gevallen;0
1926;Pijnacker-Nootdorp;Aantal gevallen;5
439;Purmerend;Aantal gevallen;1
273;Putten;Aantal gevallen;0
177;Raalte;Aantal gevallen;0
703;Reimerswaal;Aantal gevallen;0
274;Renkum;Aantal gevallen;7
339;Renswoude;Aantal gevallen;0
1667;Reusel-De Mierden;Aantal gevallen;0
275;Rheden;Aantal gevallen;1
340;Rhenen;Aantal gevallen;0
597;Ridderkerk;Aantal gevallen;1
1742;Rijssen-Holten;Aantal gevallen;0
603;Rijswijk;Aantal gevallen;0
1669;Roerdalen;Aantal gevallen;0
957;Roermond;Aantal gevallen;1
1674;Roosendaal;Aantal gevallen;1
599;Rotterdam;Aantal gevallen;15
277;Rozendaal;Aantal gevallen;0
840;Rucphen;Aantal gevallen;0
441;Schagen;Aantal gevallen;1
279;Scherpenzeel;Aantal gevallen;0
606;Schiedam;Aantal gevallen;0
88;Schiermonnikoog;Aantal gevallen;0
1676;Schouwen-Duiveland;Aantal gevallen;2
518;'s-Gravenhage;Aantal gevallen;7
796;'s-Hertogenbosch;Aantal gevallen;5
965;Simpelveld;Aantal gevallen;2
1702;Sint Anthonis;Aantal gevallen;0
845;Sint-Michielsgestel;Aantal gevallen;5
1883;Sittard-Geleen;Aantal gevallen;20
610;Sliedrecht;Aantal gevallen;0
1714;Sluis;Aantal gevallen;0
90;Smallingerland;Aantal gevallen;1
342;Soest;Aantal gevallen;8
847;Someren;Aantal gevallen;0
848;Son en Breugel;Aantal gevallen;1
37;Stadskanaal;Aantal gevallen;0
180;Staphorst;Aantal gevallen;0
532;Stede Broec;Aantal gevallen;0
851;Steenbergen;Aantal gevallen;0
1708;Steenwijkerland;Aantal gevallen;0
971;Stein;Aantal gevallen;1
1904;Stichtse Vecht;Aantal gevallen;5
