Gemeente;Gemnr;Aantal;id
's-Gravenhage;518;8;518
's-Hertogenbosch;796;11;796
Aalsmeer;358;3;358
Albrandswaard;613;1;613
Alkmaar;361;1;361
Almelo;141;1;141
Almere;34;1;34
Alphen aan den Rijn;484;4;484
Altena;1959;8;1959
Amersfoort;307;4;307
Amstelveen;362;3;362
Amsterdam;363;20;363
Apeldoorn;200;2;200
Arnhem;202;4;202
Barendrecht;489;1;489
Beekdaelen;1954;8;1954
Berg en Dal;1945;5;1945
Bergeijk;1724;1;1724
Bergen op Zoom;748;1;748
Bernheze;1721;13;1721
Best;753;3;753
Beuningen;209;3;209
Beverwijk;375;5;375
Blaricum;376;1;376
Bloemendaal;377;1;377
Bodegraven-Reeuwijk;1901;1;1901
Boekel;755;11;755
Borne;147;3;147
Borsele;654;1;654
Boxmeer;756;1;756
Boxtel;757;1;757
Breda;758;53;758
Bronckhorst;1876;2;1876
Buren;214;2;214
Coevorden;109;11;109
Cranendonck;1706;2;1706
Cuijk;1684;2;1684
Culemborg;216;2;216
De Bilt;310;11;310
De Fryske Marren;1940;2;1940
Delft;503;2;503
Den Helder;400;1;400
Deurne;762;3;762
Diemen;384;2;384
Dinkelland;1774;3;1774
Dongen;766;4;766
Dordrecht;505;1;505
Drimmelen;1719;5;1719
Dronten;303;2;303
Druten;225;1;225
Duiven;226;1;226
Eersel;770;1;770
Eindhoven;772;12;772
Elburg;230;1;230
Emmen;114;1;114
Enschede;153;3;153
Ermelo;233;4;233
Etten-Leur;777;6;777
Geertruidenberg;779;1;779
Geldrop-Mierlo;1771;2;1771
Gemert-Bakel;1652;11;1652
Gennep;907;1;907
Gilze en Rijen;784;1;784
Goeree-Overflakkee;1924;1;1924
Goes;664;2;664
Goirle;785;6;785
Gooise Meren;1942;3;1942
Gouda;513;2;513
Groningen;14;3;14
Haaren;788;7;788
Haarlem;392;4;392
Harderwijk;243;2;243
Hardinxveld-Giessendam;523;5;523
Heemskerk;396;1;396
Heemstede;397;2;397
Heerlen;917;2;917
Heeze-Leende;1658;1;1658
Heiloo;399;2;399
Hellendoorn;163;2;163
Hellevoetsluis;530;1;530
Helmond;794;16;794
Heusden;797;4;797
Hilvarenbeek;798;5;798
Hoeksche Waard;1963;1;1963
Hoogeveen;118;1;118
Horst aan de Maas;1507;2;1507
Houten;321;13;321
Huizen;406;1;406
IJsselstein;353;1;353
Katwijk;537;1;537
Krimpen aan den IJssel;542;1;542
Krimpenerwaard;1931;3;1931
Laarbeek;1659;1;1659
Landerd;1685;4;1685
Landgraaf;882;2;882
Landsmeer;415;2;415
Langedijk;416;3;416
Lansingerland;1621;4;1621
Leeuwarden;80;1;80
Leiden;546;4;546
Leidschendam-Voorburg;1916;3;1916
Lelystad;995;3;995
Leudal;1640;4;1640
Lingewaard;1705;2;1705
Loon op Zand;809;7;809
Maastricht;935;10;935
Meierijstad;1948;25;1948
Moerdijk;1709;1;1709
Neder-Betuwe;1740;3;1740
Nederweert;946;1;946
Nieuwkoop;569;1;569
Nijmegen;268;8;268
Nissewaard;1930;1;1930
Noordwijk;575;2;575
Nuenen, Gerwen en Nederwetten;820;1;820
Nunspeet;302;1;302
Oegstgeest;579;2;579
Oisterwijk;824;6;824
Oldebroek;269;1;269
Oosterhout;826;3;826
Opsterland;86;2;86
Oss;828;3;828
Peel en Maas;1894;8;1894
Pekela;765;1;765
Pijnacker-Nootdorp;1926;6;1926
Purmerend;439;2;439
Raalte;177;1;177
Reimerswaal;703;1;703
Renkum;274;7;274
Rheden;275;1;275
Ridderkerk;597;1;597
Roermond;957;1;957
Roosendaal;1674;2;1674
Rotterdam;599;20;599
Schagen;441;2;441
Schouwen-Duiveland;1676;2;1676
Simpelveld;965;2;965
Sint-Michielsgestel;845;5;845
Sittard-Geleen;1883;23;1883
Smallingerland;90;1;90
Soest;342;8;342
Son en Breugel;848;2;848
Stein;971;1;971
Stichtse Vecht;1904;6;1904
Súdwest-Fryslân;1900;1;1900
Tiel;281;2;281
Tilburg;855;67;855
Tubbergen;183;1;183
Uden;856;25;856
Utrecht;344;26;344
Utrechtse Heuvelrug;1581;2;1581
Veenendaal;345;1;345
Veere;717;1;717
Veldhoven;861;1;861
Velsen;453;1;453
Venlo;983;2;983
Vijfheerenlanden;1961;2;1961
Vlaardingen;622;1;622
Vlissingen;718;2;718
Voorst;285;1;285
Vught;865;2;865
Waalre;866;1;866
Waalwijk;867;9;867
Waddinxveen;627;1;627
Wassenaar;629;1;629
Waterland;852;1;852
West Betuwe;1960;3;1960
West Maas en Waal;668;2;668
Westvoorne;614;1;614
Wijchen;296;3;296
Wijk bij Duurstede;352;2;352
Woerden;632;2;632
Woudenberg;351;1;351
Zaanstad;479;2;479
Zaltbommel;297;1;297
Zeewolde;50;1;50
Zeist;355;4;355
Zundert;879;3;879
Zwartewaterland;1896;2;1896
Zwolle;193;2;193
