gemeente_id,Provincienaam,Gemeentenaam,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020
518,Zuid-Holland,'s-Gravenhage,0,0,0,0,0,0,0,0,3,2,2,2,3
796,Noord-Brabant,'s-Hertogenbosch,0,0,0,0,0,0,0,0,0,2,2,3,4
1680,Drenthe,Aa en Hunze,0,0,0,0,0,0,0,0,0,0,0,0,0
358,Noord-Holland,Aalsmeer,0,0,0,0,0,0,0,0,0,0,0,0,2
197,Gelderland,Aalten,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Friesland,Achtkarspelen,0,0,0,0,0,0,0,0,0,0,0,0,0
482,Zuid-Holland,Alblasserdam,0,0,0,0,0,0,0,0,0,0,0,0,0
613,Zuid-Holland,Albrandswaard,0,0,0,0,0,0,0,0,0,0,1,1,1
361,Noord-Holland,Alkmaar,0,0,0,0,0,0,0,0,0,0,0,0,1
141,Overijssel,Almelo,0,0,0,0,0,0,0,0,0,0,1,1,1
34,Flevoland,Almere,0,0,0,0,0,0,0,0,1,1,1,1,1
484,Zuid-Holland,Alphen aan den Rijn,0,0,0,0,1,1,1,1,1,1,1,1,1
1723,Noord-Brabant,Alphen-Chaam,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,Noord-Brabant,Altena,0,0,0,1,1,3,3,4,4,4,4,4,4
60,Friesland,Ameland,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Utrecht,Amersfoort,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Noord-Holland,Amstelveen,0,0,0,0,0,0,0,0,0,1,1,2,2
363,Noord-Holland,Amsterdam,0,1,1,1,1,0,1,2,2,3,4,4,8
200,Gelderland,Apeldoorn,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Groningen,Appingedam,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Gelderland,Arnhem,0,0,0,0,0,0,0,0,1,1,3,2,2
106,Drenthe,Assen,0,0,0,0,0,0,0,0,0,0,0,0,0
743,Noord-Brabant,Asten,0,0,0,0,0,0,0,0,0,0,0,0,0
744,Noord-Brabant,Baarle-Nassau,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Utrecht,Baarn,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Zuid-Holland,Barendrecht,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Gelderland,Barneveld,0,0,0,0,0,0,0,0,0,0,0,0,0
888,Limburg,Beek,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,Limburg,Beekdaelen,0,0,0,0,0,0,0,0,1,2,2,4,5
370,Noord-Holland,Beemster,0,0,0,0,0,0,0,0,0,0,0,0,0
889,Limburg,Beesel,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Gelderland,Berg en Dal,0,0,0,0,0,0,0,0,0,0,0,0,1
1724,Noord-Brabant,Bergeijk,0,0,0,0,0,0,0,0,0,0,0,0,0
893,Limburg,Bergen (L.),0,0,0,0,0,0,0,0,0,0,0,0,0
373,Noord-Holland,Bergen (NH.),0,0,0,0,0,0,0,0,0,0,0,0,0
748,Noord-Brabant,Bergen op Zoom,0,0,0,0,0,0,0,0,0,0,1,1,1
1859,Gelderland,Berkelland,0,0,0,0,0,0,0,0,0,0,0,0,0
1721,Noord-Brabant,Bernheze,0,0,0,0,0,0,0,0,0,1,1,2,2
753,Noord-Brabant,Best,0,0,0,0,0,0,0,1,1,1,2,2,2
209,Gelderland,Beuningen,0,0,0,0,0,0,0,0,1,1,5,3,3
375,Noord-Holland,Beverwijk,0,0,0,0,0,0,1,2,2,3,4,4,4
1728,Noord-Brabant,Bladel,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Noord-Holland,Blaricum,0,0,0,0,0,0,1,1,1,1,1,1,1
377,Noord-Holland,Bloemendaal,0,0,0,0,0,0,0,0,0,1,1,1,1
1901,Zuid-Holland,Bodegraven-Reeuwijk,0,0,0,0,0,0,0,0,0,0,0,0,0
755,Noord-Brabant,Boekel,0,0,0,0,0,0,0,0,0,0,1,1,2
1681,Drenthe,Borger-Odoorn,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Overijssel,Borne,0,0,0,0,0,0,0,1,1,2,3,3,3
654,Zeeland,Borsele,0,0,0,0,0,0,0,0,0,0,0,0,0
756,Noord-Brabant,Boxmeer,0,0,0,0,0,0,0,0,0,0,0,0,0
757,Noord-Brabant,Boxtel,0,0,0,0,0,0,0,0,0,0,0,0,0
758,Noord-Brabant,Breda,0,0,0,0,0,0,0,0,2,2,16,19,27
501,Zuid-Holland,Brielle,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,Gelderland,Bronckhorst,0,0,0,0,0,0,0,0,1,1,2,2,2
213,Gelderland,Brummen,0,0,0,0,0,0,0,0,0,0,0,0,0
899,Limburg,Brunssum,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Utrecht,Bunnik,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Utrecht,Bunschoten,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Gelderland,Buren,0,0,0,0,0,0,0,0,0,0,0,0,0
502,Zuid-Holland,Capelle aan den IJssel,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Noord-Holland,Castricum,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Drenthe,Coevorden,0,0,0,1,1,2,2,3,3,3,7,9,11
1706,Noord-Brabant,Cranendonck,0,0,0,0,0,0,0,0,0,0,0,0,0
1684,Noord-Brabant,Cuijk,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Gelderland,Culemborg,0,0,0,0,0,0,0,1,1,1,1,1,1
148,Overijssel,Dalfsen,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,Friesland,Dantumadiel,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Utrecht,De Bilt,0,0,0,0,0,0,0,2,3,6,6,6,6
